YBR236C	ABD1
YBR237W	PRP5
YBR238C	YBR238C
YBR239C	YBR239C
YBR240C	THI2
YBR241C	YBR241C
YBR242W	YBR242W
YBR243C	ALG7
YBR244W	GPX2
YBR245C	ISW1
YBR246W	YBR246W
YBR247C	ENP1
YBR248C	HIS7
YBR249C	ARO4
YBR250W	YBR250W
YBR251W	MRPS5
YBR252W	DUT1
YBR253W	SRB6
YBR254C	TRS20
YBR255W	YBR255W
YBR256C	RIB5
YBR257W	POP4
YBR258C	SHG1
YBR259W	YBR259W
YBR260C	RGD1
YBR261C	YBR261C
YBR262C	YBR262C
YBR263W	SHM1
YBR264C	YPT10
YBR265W	TSC10
YBR266C	YBR266C
YBR267W	YBR267W
YBR268W	MRPL37
YBR269C	YBR269C
YBR270C	YBR270C
YBR271W	YBR271W
YBR272C	HSM3
YBR273C	YBR273C
YBR274W	CHK1
YBR275C	RIF1
YBR276C	PPS1
YBR277C	YBR277C
YBR278W	DPB3
YBR279W	PAF1
YBR280C	YBR280C
YBR281C	YBR281C
YBR282W	MRPL27
YBR283C	SSH1
YBR284W	YBR284W
YBR285W	YBR285W
YBR286W	APE3
YBR287W	YBR287W
YBR288C	APM3
YBR289W	SNF5
YBR290W	BSD2
YBR291C	CTP1
YBR292C	YBR292C
YBR293W	YBR293W
YBR294W	SUL1
YBR295W	PCA1
YBR296C	PHO89
YBR297W	MAL33
YBR298C	MAL31
YBR299W	MAL32
YBR300C	YBR300C
YBR301W	DAN3
YCL001W	RER1
YCL002C	YCL002C
YCL004W	PGS1
YCL005W	YCL005W
YCL007C	CWH36
YCL008C	STP22
YCL009C	ILV6
YCL010C	YCL010C
YCL011C	GBP2
YCL014W	BUD3
YCL016C	DCC1
YCL017C	NFS1
YCL018W	LEU2
YCL023C	YCL023C
YCL024W	KCC4
YCL025C	AGP1
YCL027W	FUS1
YCL028W	RNQ1
YCL029C	BIK1
YCL030C	HIS4
YCL031C	RRP7
YCL032W	STE50
YCL033C	YCL033C
YCL034W	YCL034W
YCL035C	GRX1
YCL036W	YCL036W
YCL037C	SRO9
YCL038C	YCL038C
YCL039W	YCL039W
YCL040W	GLK1
YCL041C	YCL041C
YCL042W	YCL042W
YCL043C	PDI1
YCL044C	YCL044C
YCL045C	YCL045C
YCL046W	YCL046W
YCL047C	YCL047C
YCL048W	YCL048W
YCL049C	YCL049C
YCL050C	APA1
YCL051W	LRE1
YCL052C	PBN1
YCL054W	SPB1
YCL055W	KAR4
YCL056C	YCL056C
YCL057W	PRD1
YCL058C	FYV5
YCL059C	KRR1
YCL061C	MRC1
YCL063W	YCL063W
YCL064C	CHA1
YCL065W	YCL065W
YCL066W	HMLALPHA1
YCL067C	HMLALPHA2
YCL068C	YCL068C
YCL069W	YCL069W
YCL073C	YCL073C
YCL074W	YCL074W
YCR001W	YCR001W
YCR002C	CDC10
YCR003W	MRPL32
YCR004C	YCP4
YCR005C	CIT2
YCR006C	YCR006C
YCR007C	YCR007C
YCR008W	SAT4
YCR009C	RVS161
YCR010C	ADY2
YCR011C	ADP1
YCR012W	PGK1
YCR013C	YCR013C
YCR014C	POL4
YCR015C	YCR015C
YCR016W	YCR016W
YCR017C	CWH43
YCR018C	SRD1
YCR018C-A	YCR018C-A
YCR019W	MAK32
YCR020C	PET18
YCR020C-A	MAK31
YCR021C	HSP30
YCR022C	YCR022C
YCR023C	YCR023C
YCR024C	YCR024C
YCR024C-A	PMP1
YCR025C	YCR025C
YCR026C	YCR026C
YCR027C	RSG1
YCR028C	FEN2
YCR030C	YCR030C
YCR031C	RPS14A
YCR032W	BPH1
YCR033W	YCR033W
YCR034W	FEN1
YCR035C	RRP43
YCR036W	RBK1
YCR037C	PHO87
YCR038C	BUD5
YCR039C	MATALPHA2
YCR040W	MATALPHA1
YCR041W	YCR041W
YCR042C	TSM1
YCR043C	YCR043C
YCR044C	PER1
YCR045C	YCR045C
YCR046C	IMG1
YCR047C	BUD23
YCR048W	ARE1
YCR049C	YCR049C
YCR050C	YCR050C
YCR051W	YCR051W
YCR052W	RSC6
YCR053W	THR4
YCR054C	CTR86
YCR057C	PWP2
YCR059C	YIH1
YCR060W	YCR060W
YCR061W	YCR061W
YCR063W	BUD31
YCR064C	YCR064C
YCR065W	HCM1
YCR066W	RAD18
YCR067C	SED4
YCR068W	CVT17
YCR069W	SCC3
YCR071C	IMG2
YCR072C	YCR072C
YCR073C	SSK22
YCR075C	ERS1
YCR076C	YCR076C
YCR077C	PAT1
YCR079W	YCR079W
YCR081W	SRB8
YCR082W	YCR082W
YCR083W	TRX3
YCR084C	TUP1
YCR085W	YCR085W
YCR086W	CSM1
YCR087C-A	YCR087C-A
YCR087W	YCR087W
YCR088W	ABP1
YCR089W	FIG2
YCR090C	YCR090C
YCR091W	KIN82
YCR092C	MSH3
YCR093W	CDC39
YCR094W	CDC50
YCR095C	YCR095C
YCR096C	A2
YCR098C	GIT1
YCR099C	YCR099C
YCR100C	YCR100C
YCR101C	YCR101C
YCR102C	YCR102C
YCR104W	PAU3
YCR105W	YCR105W
YCR106W	YCR106W
YCR107W	AAD3
YDL001W	YDL001W
YDL002C	NHP10
YDL003W	MCD1
YDL004W	ATP16
YDL005C	MED2
YDL006W	PTC1
YDL007W	RPT2
YDL008W	APC11
YDL009C	YDL009C
YDL010W	YDL010W
YDL011C	YDL011C
YDL012C	YDL012C
YDL013W	HEX3
YDL014W	NOP1
YDL015C	TSC13
YDL016C	YDL016C
YDL017W	CDC7
YDL018C	ERP3
YDL019C	OSH2
YDL020C	RPN4
YDL021W	GPM2
YDL022W	GPD1
YDL023C	YDL023C
YDL024C	DIA3
YDL025C	YDL025C
YDL026W	YDL026W
YDL027C	YDL027C
YDL028C	MPS1
YDL029W	ARP2
YDL030W	PRP9
YDL031W	DBP10
YDL032W	YDL032W
YDL033C	YDL033C
YDL034W	YDL034W
YDL035C	GPR1
YDL036C	YDL036C
YDL037C	YDL037C
YDL038C	YDL038C
YDL039C	PRM7
YDL040C	NAT1
YDL041W	KRE26
YDL042C	SIR2
YDL043C	PRP11
YDL044C	MTF2
YDL045C	FAD1
YDL045W-A	MRP10
YDL046W	YDL046W
YDL047W	SIT4
YDL048C	STP4
YDL049C	KNH1
YDL050C	YDL050C
YDL051W	LHP1
YDL052C	SLC1
YDL053C	YDL053C
YDL054C	YDL054C
YDL055C	PSA1
YDL056W	MBP1
YDL057W	YDL057W
YDL058W	USO1
YDL059C	RAD59
YDL060W	TSR1
YDL061C	RPS29B
YDL062W	YDL062W
YDL063C	YDL063C
YDL064W	UBC9
YDL065C	PEX19
YDL066W	IDP1
YDL067C	COX9
YDL068W	YDL068W
YDL069C	CBS1
YDL070W	BDF2
YDL071C	YDL071C
YDL072C	YDL072C
YDL073W	YDL073W
YDL074C	BRE1
YDL075W	RPL31A
YDL076C	YDL076C
YDL077C	VAM6
YDL078C	MDH3
YDL079C	MRK1
YDL080C	THI3
YDL081C	RPP1A
YDL082W	RPL13A
YDL083C	RPS16B
YDL084W	SUB2
YDL085W	NDH2
YDL086W	YDL086W
YDL087C	LUC7
YDL088C	ASM4
YDL089W	YDL089W
YDL090C	RAM1
YDL091C	YDL091C
YDL092W	SRP14
YDL093W	PMT5
YDL094C	YDL094C
YDL095W	PMT1
YDL096C	YDL096C
YDL097C	RPN6
YDL098C	SNU23
YDL099W	YDL099W
YDL100C	YDL100C
YDL101C	DUN1
YDL102W	CDC2
YDL103C	QRI1
YDL104C	QRI7
YDL105W	QRI2
YDL106C	PHO2
YDL107W	MSS2
YDL108W	KIN28
YDL109C	YDL109C
YDL110C	YDL110C
YDL111C	RRP42
YDL112W	TRM3
YDL113C	YDL113C
YDL114W	YDL114W
YDL115C	YDL115C
YDL116W	NUP84
YDL117W	CYK3
YDL118W	YDL118W
YDL119C	YDL119C
YDL120W	YFH1
YDL121C	YDL121C
YDL122W	UBP1
YDL123W	YDL123W
